,RMSE,MAE,R²,MAPE
Linear Regression,6.008391418780904,2.534128711002032,0.9018758315181257,543180503282.3896
Random Forest,5.148805644707278,1.531961309980885,0.9279436013921704,721265134598.7144
Gradient Boosting,8.146783173270883,3.8572421064451334,0.8196019367935838,2484569751586.023
